"x" "y" "Q" "10x10" "20x20" "ha4plot" "Forest" "uneqID"
"204" 603350.52238 647254.957359999 "3" "2" "M" "1" "A1" "2M1A1"
"205" 603344.52229 647233.416729999 "4" "3" "M" "1" "A1" "3M1A1"
"206" 603354.33856 647235.32482 "4" "3" "M" "1" "A1" "3M1A1"
"207" 603352.43047 647245.141089999 "4" "3" "M" "1" "A1" "3M1A1"
"208" 603342.6142 647243.233 "4" "3" "M" "1" "A1" "3M1A1"
"209" 603336.61411 647221.692369999 "1" "1" "R" "1" "A1" "1R1A1"
"210" 603346.43038 647223.600459999 "1" "1" "R" "1" "A1" "1R1A1"
"211" 603344.52229 647233.41673 "1" "1" "R" "1" "A1" "1R1A1"
"212" 603334.70602 647231.50864 "1" "1" "R" "1" "A1" "1R1A1"
"213" 603336.61411 647221.692369999 "2" "4" "R" "1" "A1" "4R1A1"
"214" 603338.5222 647211.8761 "2" "4" "R" "1" "A1" "4R1A1"
"215" 603348.33847 647213.784189999 "2" "4" "R" "1" "A1" "4R1A1"
"216" 603346.43038 647223.600459999 "2" "4" "R" "1" "A1" "4R1A1"
"217" 603346.43038 647223.600459999 "3" "2" "R" "1" "A1" "2R1A1"
"218" 603356.24665 647225.508549999 "3" "2" "R" "1" "A1" "2R1A1"
"219" 603354.33856 647235.32482 "3" "2" "R" "1" "A1" "2R1A1"
"220" 603344.52229 647233.41673 "3" "2" "R" "1" "A1" "2R1A1"
"221" 603348.33847 647213.784189999 "4" "3" "R" "1" "A1" "3R1A1"
"222" 603358.15474 647215.692279999 "4" "3" "R" "1" "A1" "3R1A1"
"223" 603356.24665 647225.508549999 "4" "3" "R" "1" "A1" "3R1A1"
"224" 603346.43038 647223.600459999 "4" "3" "R" "1" "A1" "3R1A1"
"225" 603338.5222 647211.8761 "1" "1" "W" "1" "A1" "1W1A1"
"226" 603340.43029 647202.05983 "1" "1" "W" "1" "A1" "1W1A1"
"227" 603350.24656 647203.967919999 "1" "1" "W" "1" "A1" "1W1A1"
"228" 603348.33847 647213.78419 "1" "1" "W" "1" "A1" "1W1A1"
"229" 603342.33838 647192.243559999 "2" "4" "W" "1" "A1" "4W1A1"
"230" 603352.15465 647194.15165 "2" "4" "W" "1" "A1" "4W1A1"
"231" 603350.24656 647203.967919999 "2" "4" "W" "1" "A1" "4W1A1"
"232" 603340.43029 647202.05983 "2" "4" "W" "1" "A1" "4W1A1"
"233" 603350.24656 647203.967919999 "3" "2" "W" "1" "A1" "2W1A1"
"234" 603360.06283 647205.87601 "3" "2" "W" "1" "A1" "2W1A1"
"235" 603358.15474 647215.692279999 "3" "2" "W" "1" "A1" "2W1A1"
"236" 603348.33847 647213.78419 "3" "2" "W" "1" "A1" "2W1A1"
"237" 603352.15465 647194.15165 "4" "3" "W" "1" "A1" "3W1A1"
"238" 603350.24656 647203.967919999 "4" "3" "W" "1" "A1" "3W1A1"
"239" 603360.06283 647205.87601 "4" "3" "W" "1" "A1" "3W1A1"
"240" 603361.97092 647196.059739999 "4" "3" "W" "1" "A1" "3W1A1"
"241" 603342.89002 647294.22244 "1" "1" "D" "1" "A1" "1D1A1"
"242" 603344.79811 647284.40617 "1" "1" "D" "1" "A1" "1D1A1"
"243" 603354.61438 647286.31426 "1" "1" "D" "1" "A1" "1D1A1"
"244" 603352.70629 647296.13053 "1" "1" "D" "1" "A1" "1D1A1"
"245" 603344.79811 647284.40617 "2" "4" "D" "1" "A1" "4D1A1"
"246" 603354.61438 647286.31426 "2" "4" "D" "1" "A1" "4D1A1"
"247" 603356.52247 647276.49799 "2" "4" "D" "1" "A1" "4D1A1"
"248" 603346.7062 647274.5899 "2" "4" "D" "1" "A1" "4D1A1"
"249" 603354.61438 647286.31426 "3" "2" "D" "1" "A1" "2D1A1"
"250" 603364.43065 647288.22235 "3" "2" "D" "1" "A1" "2D1A1"
"251" 603362.52256 647298.03862 "3" "2" "D" "1" "A1" "2D1A1"
"252" 603352.70629 647296.13053 "3" "2" "D" "1" "A1" "2D1A1"
"253" 603356.52247 647276.49799 "4" "3" "D" "1" "A1" "3D1A1"
"254" 603354.61438 647286.31426 "4" "3" "D" "1" "A1" "3D1A1"
"255" 603364.43065 647288.22235 "4" "3" "D" "1" "A1" "3D1A1"
"256" 603366.33874 647278.40608 "4" "3" "D" "1" "A1" "3D1A1"
"257" 603348.61429 647264.77363 "1" "1" "G" "1" "A1" "1G1A1"
"258" 603358.43056 647266.68172 "1" "1" "G" "1" "A1" "1G1A1"
"259" 603356.52247 647276.49799 "1" "1" "G" "1" "A1" "1G1A1"
"260" 603346.7062 647274.5899 "1" "1" "G" "1" "A1" "1G1A1"
"261" 603350.52238 647254.957359999 "2" "4" "G" "1" "A1" "4G1A1"
"262" 603360.33865 647256.865449999 "2" "4" "G" "1" "A1" "4G1A1"
"263" 603358.43056 647266.68172 "2" "4" "G" "1" "A1" "4G1A1"
"264" 603348.61429 647264.77363 "2" "4" "G" "1" "A1" "4G1A1"
"265" 603358.43056 647266.68172 "3" "2" "G" "1" "A1" "2G1A1"
"266" 603368.24683 647268.58981 "3" "2" "G" "1" "A1" "2G1A1"
