"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"139" 604316.9038745 648257.740527958 3 3 "I" 1 "A1" "3I1A1"
"140" 604316.88490675 648247.558874518 3 3 "I" 1 "A1" "3I1A1"
"141" 604306.670406 648237.114233971 1 4 "I" 1 "A1" "4I1A1"
"142" 604306.6904895 648247.306573033 1 4 "I" 1 "A1" "4I1A1"
"143" 604316.88490675 648247.558874518 1 4 "I" 1 "A1" "4I1A1"
"144" 604316.865939 648237.377220958 1 4 "I" 1 "A1" "4I1A1"
"145" 604286.301655 648246.801970005 2 1 "J" 1 "A1" "1J1A1"
"146" 604296.49607225 648247.05427146 2 1 "J" 1 "A1" "1J1A1"
"147" 604296.5172715 648257.257295966 2 1 "J" 1 "A1" "1J1A1"
"148" 604286.32397 648257.015680015 2 1 "J" 1 "A1" "1J1A1"
"149" 604296.49607225 648247.05427146 4 2 "J" 1 "A1" "2J1A1"
"150" 604306.6904895 648247.306573033 4 2 "J" 1 "A1" "2J1A1"
"151" 604306.710573 648257.498911977 4 2 "J" 1 "A1" "2J1A1"
"152" 604296.5172715 648257.257295966 4 2 "J" 1 "A1" "2J1A1"
"153" 604296.474873 648236.851246953 3 3 "J" 1 "A1" "3J1A1"
"154" 604306.670406 648237.114233971 3 3 "J" 1 "A1" "3J1A1"
"155" 604306.6904895 648247.306573033 3 3 "J" 1 "A1" "3J1A1"
"156" 604296.49607225 648247.05427146 3 3 "J" 1 "A1" "3J1A1"
"157" 604286.27934 648236.588259995 1 4 "J" 1 "A1" "4J1A1"
"158" 604296.474873 648236.851246953 1 4 "J" 1 "A1" "4J1A1"
"159" 604296.49607225 648247.05427146 1 4 "J" 1 "A1" "4J1A1"
"160" 604286.301655 648246.801970005 1 4 "J" 1 "A1" "4J1A1"
"161" 604286.257025 648226.374549985 2 1 "K" 1 "A1" "1K1A1"
"162" 604296.45367375 648226.648222506 2 1 "K" 1 "A1" "1K1A1"
"163" 604296.474873 648236.851246953 2 1 "K" 1 "A1" "1K1A1"
"164" 604286.27934 648236.588259995 2 1 "K" 1 "A1" "1K1A1"
"165" 604296.45367375 648226.648222506 4 2 "K" 1 "A1" "2K1A1"
"166" 604306.6503225 648226.921894968 4 2 "K" 1 "A1" "2K1A1"
"167" 604306.670406 648237.114233971 4 2 "K" 1 "A1" "2K1A1"
"168" 604296.474873 648236.851246953 4 2 "K" 1 "A1" "2K1A1"
"169" 604296.4324745 648216.445197999 3 3 "K" 1 "A1" "3K1A1"
"170" 604306.630239 648216.729556024 3 3 "K" 1 "A1" "3K1A1"
"171" 604306.6503225 648226.921894968 3 3 "K" 1 "A1" "3K1A1"
"172" 604296.45367375 648226.648222506 3 3 "K" 1 "A1" "3K1A1"
"173" 604286.23471 648216.160840034 1 4 "K" 1 "A1" "4K1A1"
