"RP" "Forest" "Forest.1" "Area.ha." "ha4plot" "X20x20" "X10x10" "Tree" "Genus" "Species" "Family" "Diam2000" "BAm2" "CP" "POM" "Remarks" "unqeID" "x" "y" "elev" "sp" "dden"
"22107" "508/3" "S3" "Sandstone" 1.8 2 "R" 2 "14" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 44.2 0.153 "3" "1.3" NA "2R2S3" 603766.3223 647873.6723 105.9002677 "Dacu" 0.635
"22209" "508/3" "S3" "Sandstone" 1.8 2 "S" 4 "45" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 48.2 0.182 "3" "1.3" NA "4S2S3" 603759.3334 647903.425 104.153807 "Dacu" 0.635
"22216" "508/3" "S3" "Sandstone" 1.8 2 "T" 1 "2" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 55.1 0.238 "4" "1.3" NA "1T2S3" 603771.7514 647921.1377 106.9099151 "Dacu" 0.635
"22480" "508/3" "S3" "Sandstone" 2 2 "Y" 1 "1" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 66.2 0.344 "5" "1.5" NA "1Y2S3" 603742.6298 647848.0846 125.2583361 "Dacu" 0.635
"22494" "508/3" "S3" "Sandstone" 2 2 "Y" 2 "23" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 75.5 0.447 "5" "2.2" NA "2Y2S3" 603741.5536 647838.6489 127.1179349 "Dacu" 0.635
"22567" "508/3" "S3" "Sandstone" 2.4 3 "A" 4 "35" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 81.6 0.523 "5" "1.3" NA "4A3S3" 603720.4716 647927.2178 101.9780769 "Dacu" 0.635
"22570" "508/3" "S3" "Sandstone" 2.4 3 "A" 4 "41" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 52.2 0.214 "4" "1.3" NA "4A3S3" 603720.4716 647927.2178 101.9780769 "Dacu" 0.635
"22726" "508/3" "S3" "Sandstone" 2.4 3 "D" 4 "50" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 47.6 0.178 "4" "1.3" NA "4D3S3" 603714.1009 647871.1208 120.5350059 "Dacu" 0.635
"22765" "508/3" "S3" "Sandstone" 2.4 3 "E" 3 "34" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 47 0.173 "3" "1.3" NA "3E3S3" 603710.9156 647843.0722 134.1768484 "Dacu" 0.635
"23020" "508/3" "S3" "Sandstone" 2.4 3 "J" 2 "17" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 71.8 0.405 "5" "1.6" NA "2J3S3" 603709.1587 647919.113 101.4058487 "Dacu" 0.635
"23066" "508/3" "S3" "Sandstone" 2.8 3 "K" 3 "27" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 72.5 0.413 "5" "1.3" NA "3K3S3" 603678.4052 647922.8472 107.8701515 "Dacu" 0.635
"23372" "508/3" "S3" "Sandstone" 2.8 3 "R" 4 "47" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 62.5 0.307 "5" "1.3" NA "4R3S3" 603654.8041 647897.805 113.8004685 "Dacu" 0.635
"23397" "508/3" "S3" "Sandstone" 2.8 3 "S" 3 "22" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 85.8 0.578 "5" "1.9" NA "3S3S3" 603655.837 647906.9823 112.8665845 "Dacu" 0.635
"23477" "508/3" "S3" "Sandstone" 2.8 3 "T" 4 "60" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 41.8 0.137 "5" "1.3" NA "4T3S3" 603658.9358 647934.5139 104.6792192 "Dacu" 0.635
"23681" "508/3" "S3" "Sandstone" 3.2 3 "X" 3 "30" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 76.8 0.463 "5" "1.5" NA "3X3S3" 603631.2608 647873.1074 101.5652174 "Dacu" 0.635
"24372" "508/3" "S3" "Sandstone" 3.6 4 "J" 2 "28" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 48 0.181 "5" "1.8" NA "2J4S3" 603730.0276 648011.3633 100.5742576 "Dacu" 0.635
"24516" "508/3" "S3" "Sandstone" 3.6 4 "L" 3 "45" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 49.5 0.192 "3" "1.3" NA "3L4S3" 603697.0351 647995.7094 108.7111303 "Dacu" 0.635
"24898" "508/3" "S3" "Sandstone" 4 4 "R" 3 "42" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 52.3 0.215 "5" "1.3" NA "3R4S3" 603674.3804 647979.3276 103.0219528 "Dacu" 0.635
"24911" "508/3" "S3" "Sandstone" 4 4 "R" 4 "47" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 119 1.112 "5" "1.8" NA "4R4S3" 603675.4181 647988.5336 105.5327758 "Dacu" 0.635
"24919" "508/3" "S3" "Sandstone" 4 4 "S" 1 "11" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 67.7 0.36 "5" "1.3" NA "1S4S3" 603687.788 648005.9591 105.078479 "Dacu" 0.635
"25060" "508/3" "S3" "Sandstone" 4 4 "U" 4 "43" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 106 0.882 "5" "1.6" NA "4U4S3" 603658.9609 648027.2151 99.9466568 "Dacu" 0.635
"124" "292/1" "A1" "Alluvial" 0.2 1 "E" 1 "4" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 70.4 0.389 "4" NA NA "1E1A1" 604378.076 648269.3078 72.08256363 "Dapp" 0.64
"527" "292/1" "A1" "Alluvial" 0.6 1 "O" 3 "19" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 115.7 1.051 "5" NA NA "3O1A1" 604388.2124 648219.0044 71.07710365 "Dapp" 0.64
"1055" "292/1" "A1" "Alluvial" 1.2 2 "E" 3 "27" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 52.1 0.213 "4" NA NA "3E2A1" 604490.19 648261.848 73.41043365 "Dapp" 0.64
"1201" "292/1" "A1" "Alluvial" 1.4 2 "I" 2 "16" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 76.9 0.464 "5" NA NA "2I2A1" 604429.0235 648250.3342 68.30014343 "Dapp" 0.64
"1591" "292/1" "A1" "Alluvial" 2 2 "U" 1 "5" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 74.3 0.433 "5" NA NA "1U2A1" 604398.38 648189.0003 70.99054359 "Dapp" 0.64
"1853" "292/1" "A1" "Alluvial" 2.4 3 "C" 4 "27" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 99.9 0.783 "5" NA NA "4C3A1" 604439.1677 648160.1056 68.8455027 "Dapp" 0.64
"1993" "292/1" "A1" "Alluvial" 2.4 3 "H" 4 "22" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 73.1 0.419 "4" NA NA "4H3A1" 604439.1565 648139.9988 67.8393631 "Dapp" 0.64
"2163" "292/1" "A1" "Alluvial" 2.8 3 "M" 2 "15" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 57.1 0.256 "4" NA NA "2M3A1" 604449.3588 648130.3259 67.57907318 "Dapp" 0.64
"2836" "292/1" "A1" "Alluvial" 3.6 4 "F" 2 "15" "Dipterocarpus" "Dipterocarpus_applanatus" "Dipterocarpaceae" 40.2 0.127 "3" NA NA "2F4A1" 604388.1343 648148.2564 68.44022316 "Dapp" 0.64
"9008" "292/2" "S1" "Sandstone" 0.6 1 "N" 4 "77" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 64.5 0.327 "5" NA NA "4N1S1" 603352.4305 647245.1411 105.5134045 "Dgra" 0.67
"9582" "292/2" "S1" "Sandstone" 0.9 1 "W" 2 "43" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 56.7 0.252 "4" NA NA "2W1S1" 603348.3385 647213.7842 108.880095 "Dgra" 0.67
"9644" "292/2" "S1" "Sandstone" 1 1 "X" 1 "10" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 50.8 0.203 "5" NA NA "1X1S1" 603367.971 647217.6004 108.1168952 "Dgra" 0.67
"11045" "292/2" "S1" "Sandstone" 2 2 "U" 3 "56" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 67 0.352 "4" NA NA "3U2S1" 603409.1442 647215.4165 128.0154053 "Dgra" 0.67
"11434" "292/2" "S1" "Sandstone" 2.4 3 "A" 1 "3" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 84.3 0.558 "5" NA NA "1A3S1" 603401.236 647203.6921 122.9203897 "Dgra" 0.67
"12577" "292/2" "S1" "Sandstone" 3.2 3 "U" 1 "12" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 55.6 0.243 "5" NA NA "1U3S1" 603426.317 647127.07 124.897916 "Dgra" 0.67
"12628" "292/2" "S1" "Sandstone" 3.2 3 "U" 4 "52" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 61.2 0.294 "4" NA NA "4U3S1" 603420.3169 647105.5294 129.6648361 "Dgra" 0.67
"15864" "292/3" "S2" "Sandstone" 1.2 2 "D" 3 "31" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 72.7 0.415 "4" NA NA "3D2S2" 603359.7123 648232.7276 104.7684152 "Dgra" 0.67
"15887" "292/3" "S2" "Sandstone" 1.2 2 "E" 1 "9" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 105 0.865 "4" NA NA "1E2S2" 603369.6794 648242.4746 109.0882207 "Dgra" 0.67
"15916" "292/3" "S2" "Sandstone" 1.2 2 "E" 3 "34" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 92.2 0.667 "4" NA NA "3E2S2" 603380.0151 648232.0564 107.817635 "Dgra" 0.67
"15932" "292/3" "S2" "Sandstone" 1.4 2 "F" 1 "9" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 67.7 0.36 "4" NA NA "1F2S2" 603370.048 648222.3094 100.8537495 "Dgra" 0.67
"15942" "292/3" "S2" "Sandstone" 1.4 2 "F" 2 "18" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 54.5 0.233 "4" NA NA "2F2S2" 603380.1901 648221.9547 102.5781651 "Dgra" 0.67
"21981" "508/3" "S3" "Sandstone" 1.8 2 "P" 2 "7" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 91.4 0.656 "5" "1.8" NA "2P2S3" 603761.979 647835.7 115.4448434 "Dgra" 0.67
"22058" "508/3" "S3" "Sandstone" 1.8 2 "Q" 3 "41" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 55.6 0.243 "5" "1.4" NA "3Q2S3" 603753.9283 647856.1032 118.6273832 "Dgra" 0.67
"22190" "508/3" "S3" "Sandstone" 1.8 2 "S" 2 "27" "Dipterocarpus" "Dipterocarpus_grandiflorus" "Dipterocarpaceae" 58.9 0.272 "4" "1.3" NA "2S2S3" 603768.4939 647892.6584 101.7588825 "Dgra" 0.67
"7372" "508/2" "A2" "Alluvial" 3.6 4 "M" 1 "8" "Dipterocarpus" "Dipterocarpus_kerrii" "Dipterocarpaceae" 59 0.273 "5" "1.3" NA "1M4A2" 604201.4332 647063.7029 77.9137177 "Dker" 0.61
"3785" "508/2" "A2" "Alluvial" 0.2 1 "E" 2 "18" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 44.4 0.155 "4" "1.3" NA "2E1A2" 604336.6116 647125.5702 69.68483182 "Dkun" 0.6
"3886" "508/2" "A2" "Alluvial" 0.3 1 "G" 3 "34" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 32.9 0.085 "3" "1.3" NA "3G1A2" 604300.9451 647119.1651 70.41812562 "Dkun" 0.6
"3887" "508/2" "A2" "Alluvial" 0.3 1 "G" 3 "36" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 32.2 0.081 "3" "1.3" NA "3G1A2" 604300.9451 647119.1651 70.41812562 "Dkun" 0.6
"4018" "508/2" "A2" "Alluvial" 0.4 1 "J" 3 "34" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 31.8 0.079 "4" "1.3" NA "3J1A2" 604250.8855 647169.8656 75.6579628 "Dkun" 0.6
"4808" "508/2" "A2" "Alluvial" 1.2 2 "B" 4 "39" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 31.5 0.078 NA NA NA "4B2A2" 604350.9746 647096.8132 69.56149837 "Dkun" 0.6
"4856" "508/2" "A2" "Alluvial" 1.2 2 "D" 1 "2" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 37.5 0.11 NA NA NA "1D2A2" 604386.7766 647074.644 69.57524123 "Dkun" 0.6
"5248" "508/2" "A2" "Alluvial" 1.6 2 "N" 4 "36" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 33.9 0.09 NA NA NA "4N2A2" 604350.9946 647040.2017 70.08602358 "Dkun" 0.6
