"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "sBio" "rBio" "rootTstem" "dden" "si" "raden" "slm" "p50" "fden" "Dden" "wet" "fleaf" "rgr" "leafTwood" "local" "surv" "name" "A" "Adate" "E" "rTs" "lTb"
"408" "dry" "DL_Tawau" "C" 21 0 4.2 440 5 849.223663924535 1254.40185297263 850.572809091778 0.678070434188315 0.59 0.0372 0.12 5.43 -2.95831330249817 0.494498519 -0.0955014809999999 "wet" "high" 0.0228078147880042 0.287463321759297 "taw" 1 "C88" 1.77 "21.08.2015" 0.41 0.736364768672071 0.361645549985552
"409" "pmal" "Pmal_1_RDC" "C" 3 0 4.4 345 6 1528.32257862089 1298.92963947908 1197.85627436408 0.922187190096352 0.39 0.0313 0.15 4.96 -1.47571143778228 0.59891617 0.20891617 "wet" "high" 0.203658857463744 0.379697238343331 "sfr" 1 "C89" 3.84 "21.08.2015" 0.92 1.10821933463314 0.307792273027868
"410" "sxan" "9K_Sxan_2" "C" 21 1 3.37 240 10 5555.8092153381 792.379022614126 812.209946339532 1.02502706805637 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.775907857683983 "sfr" 0 "C90" NA NA NA 1.13561314857521 0.36920464173473
"411" "spar" "9P_Spar_2" "C" 18 1 3.71 300 7 1914.35813963016 1253.01286977816 1494.36801231966 1.19261984322973 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.410653219905167 "sfr" 0 "C91" NA NA NA 1.18152048315931 0.298487653517437
"412" "pmal" "Pm_m_5" "C" 15 1 4.53 320 8 2622.78079775945 1376.26011902805 1297.45177210822 0.942737317001174 0.39 0.0313 0.15 4.96 -1.47571143778228 NA NA "wet" "high" NA 0.495191998142129 "mal" 0 "C92" NA NA NA 1.10821933463314 0.307792273027868
"413" "sbec" "SHOREABECCARINA_Sbec" "C" 21 1 4.63 311 4 1170.6951110022 1905.06082356375 1275.15066745313 0.669349057878235 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.269069235009303 "sfr" 0 "C93" NA NA NA 0.723698094365868 0.326628969784602
"414" "ptom" "Ptom_m_3" "C" 15 0 4.6 370 10 6613.38995904392 1592.07185641169 1413.47348159228 0.887820154536274 0.31 0.0262 0.13 4.92 -1.11733744698828 0.561358811 0.251358811 "wet" "high" 0.063270696653641 0.687538667722779 "sfr" 1 "C94" -0.54 "20.08.2015" 0.42 1.25739196337714 0.290252763040932
"415" "sxan" "8n_Sxan" "C" 6 1 3.22 150 6 1439.5450510513 428.871928067844 587.267741685841 1.36933126943422 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" 0.346769673437703 0.586209230710777 "sfr" 0 "C95" NA NA NA 1.13561314857521 0.36920464173473
"416" "dry" "DL_m_1" "C" 6 0 6.24 625 11 3318.4067128223 3822.51834394194 2201.58614760816 0.575951754710951 0.59 0.0372 0.12 5.43 -2.95831330249817 0.483148103 -0.106851897 "wet" "high" -0.0876944471187469 0.355194298431159 "mal" 1 "C96" 0.6 "20.08.2015" 0.82 0.736364768672071 0.361645549985552
"417" "spar" "9Q_Spar_10" "C" 0 0 3.26 240 5 1525.03796710409 1022.09202320566 1589.46188310094 1.55510643563756 0.36 0.0423 0.2 4.81 -1.32952049012629 0.390082123 0.030082123 "dry" "high" 0.202710818408504 0.368670154990821 "sfr" 1 "C97" NA NA NA 1.18152048315931 0.298487653517437
"418" "ssem" "SS" "C" 0 0 3.76 190 8 1367.99506812456 615.02089831071 791.94627735216 1.28767376771654 0.72 0.014 0.12 5.16 -4.64913263523571 0.553502453 -0.166497547 "dry" "high" 0.1345252360777 0.492977903100202 "sfr" 1 "C98" 0.68 "31.07.2015" 0.78 1.02239348582335 0.257097042694379
"419" "sbec" "Sbec_Sfr" "C" 6 1 4.18 220 6 1987.76003863551 1468.66449913104 1120.8868189625 0.763201411640093 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.434263672213018 "sfr" 0 "C99" 1.48 "31.07.2015" 0.8 0.723698094365868 0.326628969784602
"420" "sxan" "Sxan_1" "C" 0 0 3.89 211 4 897.242506114275 732.068921994833 750.793455555495 1.02557755560725 0.51 0.006 0.16 6.96 -2.23989199255121 0.466497915 -0.043502085 "dry" "high" 0.161993864143391 0.376976036758854 "sfr" 1 "C100" 0.34 "21.08.2015" 0.44 1.13561314857521 0.36920464173473
"421" "ssem" "SS" "C" 6 0 3.3 255 6 752.844963189204 591.264579597064 722.445333229721 1.22186472547037 0.72 0.014 0.12 5.16 -4.64913263523571 0.701920099 -0.018079901 "wet" "high" 0.12880279927554 0.364299526679193 "sfr" 1 "C101" -0.4 "07.08.2015" 0.25 1.02239348582335 0.257097042694379
"422" "sxan" "8m_Sxan_3" "C" 12 1 3.8 220 5 1191.74587211957 749.630854208785 763.966867229156 1.01912409680029 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.440515531911579 "sfr" 0 "C102" NA NA NA 1.13561314857521 0.36920464173473
"423" "ssem" "SS" "C" 12 0 3.84 225 7 1097.77564144414 681.093971116796 812.682566024845 1.19320182014279 0.72 0.014 0.12 5.16 -4.64913263523571 0.674607197 -0.0453928029999999 "wet" "high" 0.147299931203076 0.423597738264795 "sfr" 1 "C103" 0.11 "31.07.2015" 0.23 1.02239348582335 0.257097042694379
"424" "pmal" "9L_Pmal_9" "C" 6 1 3.34 280 6 1146.50155645827 770.608864784432 813.603433431707 1.05579298475797 0.39 0.0313 0.15 4.96 -1.47571143778228 0.566906881 0.176906881 "wet" "high" 0.0639776576156183 0.419854154435002 "sfr" 0 "C104" NA NA NA 1.10821933463314 0.307792273027868
"425" "sjoh" "8m_SJoh_7" "C" 6 0 3.39 284 10 4468.22552953119 811.170445062952 826.760245103709 1.01921889553008 0.4 0.0449 0.19 4.73 -1.52793042721657 0.553511193 0.153511193 "wet" "high" 0.17573720783899 0.731757486832246 "sfr" 1 "C105" NA NA NA 1.44202945767578 0.242364619261867
"426" "spar" "SP_m_7" "C" 15 1 3.37 300 7 2372.42428051014 1366.8741753129 1760.0703577732 1.28766084659569 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.431399377078462 "mal" 0 "C106" NA NA NA 1.18152048315931 0.298487653517437
"427" "slep" "SL_m_6" "C" 3 0 3.97 390 12 6096.4212931599 1161.31414442366 892.496387469871 0.768522790973842 0.42 0.055 0.25 4.44 -1.63797719837667 0.43238422 0.01238422 "wet" "high" 0.240143761933743 0.748005875663535 "mal" 1 "C107" 1.79 "20.08.2015" 1.02 1.03017923451197 0.246401415393927
"428" "sjoh" "8L_SJoh_50" "C" 9 0 4.03 361 5 1014.39798787756 1005.69428219146 896.993821557464 0.891915005823507 0.4 0.0449 0.19 4.73 -1.52793042721657 0.510309278 0.110309278 "wet" "high" 0.111471677784555 0.347743589326827 "sfr" 1 "C108" NA NA NA 1.44202945767578 0.242364619261867
"429" "sbec" "Sbec_Sfr" "C" 15 1 4.44 280 5 1541.7704603892 1769.46375312389 1226.66527663823 0.693241257116808 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.33975421089324 "sfr" 0 "C109" -0.46 "31.07.2015" 0.3 0.723698094365868 0.326628969784602
"430" "ssem" "SS" "C" 9 0 2.29 140 8 1040.6569794924 270.866977460126 535.875011081853 1.97836966361371 0.72 0.014 0.12 5.16 -4.64913263523571 0.812603101 0.092603101 "wet" "high" 0.115531510481181 0.563309278341566 "sfr" 1 "C110" -0.07 "07.08.2015" 0.33 1.02239348582335 0.257097042694379
"431" "pmal" "Pmal_m_2" "C" 18 1 3.66 320 6 1285.21085153746 978.223115449022 939.259184223132 0.960168666421254 0.39 0.0313 0.15 4.96 -1.47571143778228 0.62192536 0.23192536 "wet" "high" 0.0148497796641391 0.401290660971393 "sfr" 0 "C111" -0.57 "29.07.2015" 0.36 1.10821933463314 0.307792273027868
"432" "sbec" "SHOREABECCARINA_Sbec" "C" 6 0 5.87 401 5 2165.16163170762 2892.44459596913 1884.35732118442 0.651475683859402 0.41 0.037 0.1 5.37 -1.58199721886186 0.450071633 0.0400716330000001 "wet" "high" 0.10226259115791 0.311894699023998 "sfr" 1 "C112" 0.85 "21.08.2015" 0.39 0.723698094365868 0.326628969784602
"433" "ptom" "Ptom_3" "C" 9 1 4.47 205 5 1128.79042682909 740.890402931052 873.238603847043 1.17863397932057 0.31 0.0262 0.13 4.92 -1.11733744698828 0.562451812 0.252451812 "wet" "high" -0.0216147488876434 0.411528830558698 "sfr" 0 "C113" NA NA NA 1.25739196337714 0.290252763040932
"434" "slep" "Slep_1" "C" 18 0 2.68 190 4 292.656553775803 254.103199001871 366.9579655171 1.44412965660616 0.42 0.055 0.25 4.44 -1.63797719837667 0.491543624 0.071543624 "wet" "high" 0.0672091839566055 0.320292085746103 "sfr" 1 "C114" 0.39 "21.08.2015" 0.49 1.03017923451197 0.246401415393927
"435" "spar" "SP_m_7" "C" 6 0 2.97 250 5 1793.91234013211 1130.95341720632 1851.79057674594 1.63737122022252 0.36 0.0423 0.2 4.81 -1.32952049012629 0.5546875 0.1946875 "wet" "high" -0.00361774911663266 0.375558175984202 "mal" 1 "C115" -0.34 "31.07.2015" 0.36 1.18152048315931 0.298487653517437
"436" "dry" "DL_m_1" "C" 12 0 5.49 600 9 2556.75370954364 2992.79624082109 1655.34838230273 0.553110953470249 0.59 0.0372 0.12 5.43 -2.95831330249817 0.577915754 -0.012084246 "wet" "high" 0.125225928092209 0.354863259895169 "mal" 1 "C116" NA NA NA 0.736364768672071 0.361645549985552
"437" "ssmi" "Ssmi_4" "C" 3 0 5.87 381 7 3860.17195740164 3448.09728086391 2736.15683973131 0.793526579112575 0.31 0.0293 0.13 4.63 -1.11733744698828 0.428181973 0.118181973 "wet" "high" 0.106116313425787 0.384309857768545 "sfr" 1 "C117" NA NA NA 0.881318758953821 0.249740528331436
"438" "ssmi" "Ssmi_m_2" "C" 9 1 3.42 265 4 2054.23466620999 1032.40038224113 1438.70632591584 1.39355462344241 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.453940265776602 "sfr" 0 "C118" NA NA NA 0.881318758953821 0.249740528331436
"439" "spar" "Sp_m_4" "C" 3 0 3.43 243 9 3189.61673322328 1202.7344561623 1711.29419505743 1.42283625973255 0.36 0.0423 0.2 4.81 -1.32952049012629 0.55509206 0.19509206 "wet" "high" 0.0918222587673496 0.522575695723245 "mal" 1 "C119" 0.02 "21.08.2015" 0.26 1.18152048315931 0.298487653517437
"440" "dry" "Dl_m_4" "C" 3 0 5.93 623 12 3363.35398590375 3834.729436465 2120.33895170338 0.552930522696274 0.59 0.0372 0.12 5.43 -2.95831330249817 0.433096108 -0.156903892 "wet" "high" 0.144043261126586 0.3609359879696 "mal" 1 "C120" NA NA NA 0.736364768672071 0.361645549985552
"441" "ptom" "Ptom_m_3" "C" 12 1 3.78 371 7 2383.99769141904 977.599656404159 789.12198806783 0.80720362665675 0.31 0.0262 0.13 4.92 -1.11733744698828 NA NA "wet" "high" NA 0.574357719348728 "sfr" 0 "C121" NA NA NA 1.25739196337714 0.290252763040932
"442" "sxan" "9K_Sxan_29" "C" 15 1 2.44 123 4 673.848563573384 211.019337664434 396.747533994565 1.88014775510991 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.525780624241001 "sfr" 0 "C122" -0.11 "29.07.2015" 0.38 1.13561314857521 0.36920464173473
"443" "sjoh" "ou_SJoh_23A" "C" 21 1 3.09 321 2 275.881708960322 584.001655267454 591.83421656691 1.01341188201919 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.190038140069435 "sfr" 0 "C123" NA NA NA 1.44202945767578 0.242364619261867
"444" "dry" "DL_m_3" "C" 9 0 4.5 429 14 3162.689384243 2008.01127124482 1265.66651759905 0.630308472728059 0.59 0.0372 0.12 5.43 -2.95831330249817 0.584784411 -0.00521558899999996 "wet" "high" 0.129589359819017 0.491378024154296 "mal" 1 "C124" -0.77 "21.08.2015" 0.36 0.736364768672071 0.361645549985552
"445" "pmal" "Pm_m_5" "C" 0 0 4.46 305 3 634.783319091591 1021.43645348008 1031.581225827 1.00993186831384 0.39 0.0313 0.15 4.96 -1.47571143778228 0.598519991 0.208519991 "dry" "high" 0.109970742579364 0.236171993190634 "mal" 1 "C125" -0.81 "21.08.2015" 0.81 1.10821933463314 0.307792273027868
"446" "ptom" "All_Ptom_4" "C" 9 0 5.94 290 6 2308.72711976778 2021.28661651349 2357.60930270172 1.16639039878884 0.31 0.0262 0.13 4.92 -1.11733744698828 0.678948819 0.368948819 "wet" "high" 0.0820443446039828 0.345223871966156 "sfr" 1 "C126" NA NA NA 1.25739196337714 0.290252763040932
"447" "ssmi" "Ssmi_Tawau" "C" 15 0 4.36 315 7 4830.60185079488 1908.11424134924 1989.22687479594 1.04250931715144 0.31 0.0293 0.13 4.63 -1.11733744698828 0.502724252 0.192724252 "wet" "high" 0.0806496862894202 0.553463956981887 "taw" 1 "C127" -0.11 "21.08.2015" 0.29 0.881318758953821 0.249740528331436
"448" "ssem" "Ssem_ou" "C" 6 0 4.01 270 9 2063.70807514383 922.279165676085 965.878301055806 1.04727325196353 0.72 0.014 0.12 5.16 -4.64913263523571 0.679751455 -0.040248545 "wet" "high" 0.194458350656712 0.522211105938667 "mal" 1 "C128" -0.37 "21.08.2015" 0.11 1.02239348582335 0.257097042694379
"449" "spar" "Sp_m_1" "C" 21 0 5.35 382 10 1002.55205585234 1139.78002438675 847.171726388988 0.743276516751381 0.36 0.0423 0.2 4.81 -1.32952049012629 0.514149063 0.154149063 "wet" "high" -0.00705674353430623 0.335357343793831 "mal" 1 "C129" NA NA NA 1.18152048315931 0.298487653517437
"450" "sxan" "Sxan_3_RDC" "C" 9 1 2.92 129 5 1002.73499204647 310.677655384818 493.688405300333 1.58906956050261 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.554885954236334 "sfr" 0 "C130" -0.11 "29.07.2015" 0.53 1.13561314857521 0.36920464173473
"451" "sjoh" "SJ_m_6" "C" 18 1 3.04 219 4 486.584969877567 424.519843070896 550.848398058831 1.29757985886855 0.4 0.0449 0.19 4.73 -1.52793042721657 0.45240928 0.05240928 "wet" "high" -0.00117096438324273 0.332832108588692 "mal" 0 "C131" NA NA NA 1.44202945767578 0.242364619261867
"452" "spar" "Spar_1" "C" 12 0 3.54 230 5 1303.13755486761 929.483095230849 1370.87776364152 1.47488186786339 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" 0.0177176028216292 0.361631227558976 "sfr" 1 "C132" -0.23 "30.07.2015" 0.77 1.18152048315931 0.298487653517437
"453" "pmal" "9L_Pmal_7" "C" 0 0 3.33 250 6 1099.05178420412 687.566430041228 779.857778719772 1.13422899176885 0.39 0.0313 0.15 4.96 -1.47571143778228 0.559197408 0.169197408 "dry" "high" 0.235847362227928 0.428233806673701 "sfr" 1 "C133" NA NA NA 1.10821933463314 0.307792273027868
"454" "spar" "SP_m_5" "C" 6 0 3.55 421 9 3704.99978582659 2200.25980204097 2042.09622017911 0.928115951709363 0.36 0.0423 0.2 4.81 -1.32952049012629 0.544928266 0.184928266 "wet" "high" 0.210895079744876 0.466192765910303 "mal" 1 "C134" NA NA NA 1.18152048315931 0.298487653517437
"455" "ptom" "Ptom_1_RDC" "C" 0 0 3.36 175 4 560.189319836321 345.448665410144 427.514223597177 1.23756223834183 0.31 0.0262 0.13 4.92 -1.11733744698828 0.475121781 0.165121781 "dry" "high" 0.236278153400952 0.420199071133987 "sfr" 1 "C135" NA NA NA 1.25739196337714 0.290252763040932
"456" "ssem" "Ssem_ou" "C" 3 0 3.71 185 5 572.078433493429 514.502316686508 694.412445116025 1.34967797538439 0.72 0.014 0.12 5.16 -4.64913263523571 0.676610392 -0.043389608 "wet" "high" 0.0519826976758613 0.321213149496825 "mal" 1 "C136" NA NA NA 1.02239348582335 0.257097042694379
"457" "sbec" "SHOREABECCARINA_Sbec" "C" 12 1 4.46 280 6 2194.43338072071 1861.52074452329 1278.90713332871 0.687022767321468 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.411338416194878 "sfr" 0 "C137" -0.34 "30.07.2015" 0.5 0.723698094365868 0.326628969784602
"458" "sbec" "SHOREABECCARINA_Sbec" "C" 3 0 4.8 320 6 2367.4389994321 2203.46184409216 1437.44749287521 0.652358694900591 0.41 0.037 0.1 5.37 -1.58199721886186 0.461846029 0.051846029 "wet" "high" 0.113254729556022 0.39402492446881 "sfr" 1 "C138" -0.26 "07.08.2015" 0.21 0.723698094365868 0.326628969784602
"459" "sxan" "8m_Sxan_3" "C" 18 1 6.37 542 8 3155.40080707754 6357.43631967992 3299.52493307664 0.519002435441266 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.246277836385026 "sfr" 0 "C139" NA NA NA 1.13561314857521 0.36920464173473
"460" "ptom" "Pt_m_1" "C" 18 1 4.05 331 3 614.677184206006 800.343148788452 750.988016596588 0.938332536154552 0.31 0.0262 0.13 4.92 -1.11733744698828 0.541651309 0.231651309 "wet" "high" 0.0147261947622979 0.283783386302301 "mal" 0 "C140" -0.57 "31.07.2015" 0.2 1.25739196337714 0.290252763040932
"461" "sjoh" "8m_SJoh_6" "C" 21 1 3.67 272 6 1164.90730551249 705.122734862795 753.138089150835 1.06809503071459 0.4 0.0449 0.19 4.73 -1.52793042721657 0.435005834 0.035005834 "wet" "high" -0.0648353947417729 0.444084118131968 "sfr" 0 "C141" NA NA NA 1.44202945767578 0.242364619261867
"462" "ssem" "SS" "C" 15 0 2.95 161 8 1174.32682975139 394.314102582607 637.376328476284 1.61641778547029 0.72 0.014 0.12 5.16 -4.64913263523571 0.641032127 -0.078967873 "wet" "high" 0.0775161488636017 0.532328939856098 "sfr" 1 "C142" 3.46 "07.08.2015" 0.47 1.02239348582335 0.257097042694379
"463" "sxan" "9K_Sxan_29" "C" 3 1 3.1 184 7 2082.47554162957 474.775003216838 610.946898529893 1.2868135314421 0.51 0.006 0.16 6.96 -2.23989199255121 0.434896259 -0.075103741 "wet" "high" 0.12670871893358 0.657306111392574 "sfr" 0 "C143" -0.02 "07.08.2015" 0.65 1.13561314857521 0.36920464173473
"464" "ssmi" "Ssmi_4" "C" 21 0 5.33 361 7 4202.83674221569 2860.03917508492 2452.94494422801 0.857661309536146 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" 0.0814317825368729 0.441668333544117 "sfr" 1 "C144" NA NA NA 0.881318758953821 0.249740528331436
"465" "pmal" "12H_Pmal_1" "C" 21 1 2.6 105 4 362.649590421169 265.752676436125 485.321456783772 1.82621474708053 0.39 0.0313 0.15 4.96 -1.47571143778228 NA NA "wet" "high" NA 0.325618986758735 "sfr" 0 "C145" -0.34 "31.07.2015" 0.62 1.10821933463314 0.307792273027868
"466" "sjoh" "8m_SJoh_7" "C" 12 1 3.61 311 4 632.439687323726 721.258815255032 723.3158809666 1.00285204931719 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.30449461127187 "sfr" 0 "C146" NA NA NA 1.44202945767578 0.242364619261867
"467" "slep" "8Q_Slep_4" "C" 21 0 5.39 381 8 1482.03529217853 1327.85203395853 1080.01077969466 0.81335175311287 0.42 0.055 0.25 4.44 -1.63797719837667 0.472338838 0.052338838 "wet" "high" 0.0708760783421471 0.380995916051546 "sfr" 1 "C147" 1.3 "07.08.2015" 0.25 1.03017923451197 0.246401415393927
"468" "ssmi" "Ssmi_19" "C" 18 0 6.78 390 7 3235.35343455952 4427.35606774292 3184.0150558836 0.719168507607029 0.31 0.0293 0.13 4.63 -1.11733744698828 0.39935256 0.08935256 "wet" "high" 0.103546848917903 0.298279302401737 "sfr" 1 "C148" NA NA NA 0.881318758953821 0.249740528331436
"469" "sjoh" "ou_SJoh_23A" "C" 15 1 3.43 321 6 1207.48374584634 778.465883099857 753.808625187903 0.968325833607802 0.4 0.0449 0.19 4.73 -1.52793042721657 0.502304147 0.102304147 "wet" "high" NA 0.440726383075709 "sfr" 0 "C149" 3.34 "07.08.2015" 0.6 1.44202945767578 0.242364619261867
"470" "pmal" "8_m_Pmal_8" "C" 3 0 4.22 341 10 4739.99310938131 1476.08402302322 1317.64557678972 0.892662989530232 0.39 0.0313 0.15 4.96 -1.47571143778228 0.476826819 0.086826819 "wet" "high" 0.237769058247017 0.62917010518539 "sfr" 1 "C150" 0.98 "20.08.2015" 0.37 1.10821933463314 0.307792273027868
"471" "sjoh" "8L_SJoh_50" "C" 3 0 3.68 300 4 633.821549534633 709.16001601367 726.270620052583 1.02412798755222 0.4 0.0449 0.19 4.73 -1.52793042721657 0.574567901 0.174567901 "wet" "high" 0.272046757827825 0.306304641814636 "sfr" 1 "C151" -0.42 "20.08.2015" 0.28 1.44202945767578 0.242364619261867
"472" "sxan" "11H_Sxan_1" "C" 18 1 3.33 160 6 1458.78264625903 477.405276639218 619.087722809466 1.29677603726471 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.570890521619245 "sfr" 0 "C152" -0.46 "03.08.2015" 0.38 1.13561314857521 0.36920464173473
"473" "pmal" "Pm_m_3" "C" 9 0 2.66 230 2 202.597977271662 418.750624731741 539.510986907678 1.28838252421306 0.39 0.0313 0.15 4.96 -1.47571143778228 0.660180995 0.270180995 "wet" "high" 0.121029676993922 0.174524101973181 "mal" 1 "C153" 0.91 "30.07.2015" 0.76 1.10821933463314 0.307792273027868
"474" "sxan" "8L_Sxan_10" "C" 3 1 3.22 165 6 1468.90554477423 453.861549287341 598.987590388667 1.3197583962096 0.51 0.006 0.16 6.96 -2.23989199255121 0.578078078 0.068078078 "wet" "high" 0.11407099851712 0.582493433573005 "sfr" 0 "C154" NA NA NA 1.13561314857521 0.36920464173473
"475" "slep" "SL_m_1" "C" 15 0 3.52 340 5 576.390758039327 627.626397978177 572.697790707191 0.912481999724785 0.42 0.055 0.25 4.44 -1.63797719837667 0.450623202 0.030623202 "wet" "high" 0.00236586322998175 0.324413749713695 "mal" 1 "C155" 0.05 "07.08.2015" 0.9 1.03017923451197 0.246401415393927
"476" "ssmi" "Ssmi_19" "C" 6 1 5.48 421 8 5430.31976009463 3554.73203493775 2821.57222903278 0.793751034199176 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.459938399751372 "sfr" 0 "C156" NA NA NA 0.881318758953821 0.249740528331436
"477" "dry" "DL_m_2" "C" 21 0 7.14 794 12 4474.78090325365 5288.11189399873 3530.30081597329 0.667591928222943 0.59 0.0372 0.12 5.43 -2.95831330249817 0.561144439 -0.028855561 "wet" "high" 0.0762389230541686 0.336621961091547 "mal" 1 "C157" -0.35 "21.08.2015" 0.32 0.736364768672071 0.361645549985552
"478" "slep" "12I_Slep_3" "C" 9 0 5 520 11 4035.3151360229 1963.52203995544 1318.60212218596 0.671549437874344 0.42 0.055 0.25 4.44 -1.63797719837667 0.341327489 -0.078672511 "wet" "high" 0.234286642221871 0.551465474682547 "sfr" 1 "C158" 5.29 "21.08.2015" 1.61 1.03017923451197 0.246401415393927
"479" "ssem" "Ssem_ou" "C" 9 0 2.75 120 3 195.035113234494 241.760260825391 477.951660358198 1.97696535702943 0.72 0.014 0.12 5.16 -4.64913263523571 0.547119466 -0.172880534 "wet" "high" 0.0262457024945764 0.213212074919232 "mal" 1 "C159" NA NA NA 1.02239348582335 0.257097042694379
"480" "slep" "SL_m_72" "C" 0 0 4.59 361 11 3622.14464893802 1186.45358132662 965.432996086757 0.813713247009014 0.42 0.055 0.25 4.44 -1.63797719837667 0.465213562 0.045213562 "dry" "high" 0.178683229777466 0.627316428842185 "mal" 1 "C160" NA NA NA 1.03017923451197 0.246401415393927
"481" "spar" "Sp_m_1" "D" 3 0 4.59 411 11 2208.20865603999 1645.4551774428 1317.96591539912 0.800973453100904 0.36 0.0423 0.2 4.81 -1.32952049012629 0.357794118 -0.00220588199999999 "wet" "high" 0.149057804111526 0.426985063367577 "mal" 1 "D1" -0.17 "22.08.2015" 2.16 1.18152048315931 0.298487653517437
"482" "sjoh" "8L_SJoh_50" "D" 3 0 3.35 260 5 781.332686306975 579.596472420944 655.651403852601 1.13122048709851 0.4 0.0449 0.19 4.73 -1.52793042721657 0.432883047 0.032883047 "wet" "high" 0.138250454740691 0.387454238528979 "sfr" 1 "D2" 4.79 "22.08.2015" 1.43 1.44202945767578 0.242364619261867
"483" "slep" "Slep_m_2" "D" 18 0 4.53 385 14 9026.28421212701 1439.43158225873 1099.94843251507 0.764154716397879 0.42 0.055 0.25 4.44 -1.63797719837667 0.442488597 0.022488597 "wet" "high" 0.114948871704785 0.780438030626256 "sfr" 1 "D3" 0.48 "22.08.2015" 1.25 1.03017923451197 0.246401415393927
"484" "ptom" "All_Ptom_4" "D" 12 1 3.74 200 5 929.630807521542 489.049227316973 570.689886443193 1.16693750764952 0.31 0.0262 0.13 4.92 -1.11733744698828 NA NA "wet" "high" NA 0.467299116959907 "sfr" 0 "D4" -0.57 "03.08.2015" 0.58 1.25739196337714 0.290252763040932
"485" "spar" "9P_Spar_2" "D" 18 1 2.85 131 7 2623.57441726205 788.547250901394 1809.43163070911 2.29463945076308 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.502450950338578 "sfr" 0 "D5" NA NA NA 1.18152048315931 0.298487653517437
"486" "sjoh" "8L_SJoh_50" "D" 0 0 3.71 322 5 907.491863711438 808.846085261599 782.73441109639 0.967717375850606 0.4 0.0449 0.19 4.73 -1.52793042721657 0.434138077 0.034138077 "dry" "high" 0.244958919225337 0.363131487591751 "sfr" 1 "D6" 1.27 "22.08.2015" 1.12 1.44202945767578 0.242364619261867
"487" "spar" "Sp_m_4" "D" 21 1 3.43 200 8 2451.58854461261 981.912927675582 1556.86247082737 1.58554025203928 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.491264479416314 "mal" 0 "D7" 0.81 "07.08.2015" 0.23 1.18152048315931 0.298487653517437
"488" "dry" "DL_m_2" "D" 21 0 5.32 700 11 3334.50824772009 4020.62660996415 1957.42898161314 0.486846745918192 0.59 0.0372 0.12 5.43 -2.95831330249817 0.51262674 -0.07737326 "wet" "high" 0.138731088407605 0.358065545134741 "mal" 1 "D8" NA NA NA 0.736364768672071 0.361645549985552
"489" "pmal" "9L_Pmal_7" "D" 9 0 4.41 271 7 1836.92669745458 1099.92013569503 1131.81657436429 1.0289988678579 0.39 0.0313 0.15 4.96 -1.47571143778228 0.182100362 -0.207899638 "wet" "high" 0.135511681262599 0.451481607955623 "sfr" 1 "D9" NA NA NA 1.10821933463314 0.307792273027868
"490" "spar" "9Q_Spar_10" "D" 21 1 4.33 255 7 1218.48626346985 935.216237568241 1044.98436680414 1.11737192408177 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.380933274750903 "sfr" 0 "D10" 1.23 "07.08.2015" 1.32 1.18152048315931 0.298487653517437
"491" "slep" "Slep_1" "D" 6 0 3.59 245 4 362.077231602384 437.446099743737 495.092284726215 1.13177894377444 0.42 0.055 0.25 4.44 -1.63797719837667 0.439402985 0.019402985 "wet" "high" 0.126687971536886 0.279679332697122 "sfr" 1 "D11" 3.53 "29.07.2015" 1.59 1.03017923451197 0.246401415393927
