"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "wBio" "dden" "den" "si" "slm" "rgr" "leafArea" "A" "carbon.per.sec" "woody.carbon" "carbon.fraction" "Dden" "leafTwood" "carbon.per.sec2" "carbon.fraction2" "leafTtotal" "rootTstem" "CF" "Dcf"
"169" "sjoh" "8L_SJoh_50" "B" 3 0 4.46 376 8 2579.32119823724 1354.26510721133 0.4 0.39 0.0449 4.73 0.191166838327297 545.311035568126 1.09643125870655 59.7896065114534 677.132553605666 0.0151997698458113 0.059819082 1.9045910468361 59.7896065114533 0.0117635809271411 0.507480403751143 0.848442632411291 0.0070596393221021 0.004703941605039
"170" "spar" "9P_Spar_2" "B" 3 0 3.07 258 3 1095.22650828335 1038.87963507414 0.36 0.39 0.0423 4.81 0.0538111409518237 227.697818769928 0.872524467779213 19.8671918136719 519.439817537072 0.00930937379825715 0.078174645 1.0542381150875 19.8671918136718 0.0052457713613738 0.289185704011601 1.59130210513447 0.00640743154576376 -0.00116166018438996
"171" "sbec" "SHOREABECCARINA_Sbec" "B" 0 0 5.08 382 8 4911.77928551404 2941.70690571044 0.41 0.42 0.037 5.37 0.134264962703364 914.670258010064 1.5006132085425 137.256627063088 1470.85345285522 0.0174771590247983 -0.090022443 1.66970382942614 137.256627063088 0.0142567033976064 0.510181416565733 0.603061064022329 0.00323018376090687 0.0110265196366995
"172" "sxan" "8L_Sxan_10" "B" 3 0 3.64 235 4 900.263790880299 685.787272189126 0.51 0.57 0.006 6.96 0.125543943247078 129.348245816135 0.283879313007116 3.671929116096 342.893636094563 0.00231513927993582 0.0056306920000001 1.31274496828519 3.67192911609599 0.00160047336161561 0.39239543307495 1.0327194730261 0.00327295019169622 -0.00167247683008061
"173" "sjoh" "SJoh_m" "B" 0 0 3.27 343 3 429.351724846402 700.507674083275 0.4 0.39 0.0449 4.73 0.077615456200803 90.7720348512477 1.68034493749739 15.2528329228631 350.253837041637 0.013499761950303 0.010944882 0.61291509105632 15.2528329228631 0.0085040543069271 0.239380474652263 0.947507148671775 0.0070596393221021 0.001444414984825
"174" "pmal" "Pm_m_3" "B" 0 0 3.5 320 8 2437.34721682754 1026.84869681435 0.39 0.49 0.0313 4.96 0.132744833956131 491.400648553939 1.7297642145107 85.0007256855952 513.424348407175 0.0245369279926881 0.027709646 2.37361864935804 85.0007256855954 0.0191769243140732 0.54988734186936 0.942935794846556 0.00610245022553465 0.0130744740885385
"176" "ptom" "9J_Ptom_14" "B" 12 0 3.33 151 4 537.273615032048 310.788039000862 0.31 0.52 0.0262 4.92 0.00727514803269602 109.201954274806 0.234385879905889 2.55953961401431 155.394019500431 0.00301810558447321 0.23941212 1.72874611506705 2.55953961401432 0.00203914323585035 0.428037078189693 1.31003043760562 0.0062039963071807 -0.00416485307133035
"177" "ptom" "Ptom_m_3" "B" 21 0 4.25 396 10 6938.08039951097 1483.64373106085 0.31 0.52 0.0262 4.92 0.0259681819837828 1410.17894299003 -0.109225940128005 -15.4028120796803 741.821865530423 -0.00182893809401406 0.0871738 4.67637900815316 -15.4028120796803 -0.00160139620301462 0.721336828009763 0.806554936943936 0.0062039963071807 -0.00780539251019532
"180" "spar" "Sp_m_1" "B" 12 0 3.99 473 8 2406.01467469168 2134.35100588349 0.36 0.39 0.0423 4.81 0.0500319859294475 500.210951079351 0.323848519954067 16.1992576171864 1067.17550294175 0.00356783104199975 0.055582586 1.12728162708914 16.1992576171864 0.00259437198705952 0.385332292379358 0.79819762648802 0.00640743154576376 -0.00381305955870424
"181" "ssmi" "Ssmi_Tawau" "B" 0 0 3.93 372 6 4234.42724553938 1918.91996339665 0.31 0.37 0.0293 4.63 0.206721406976262 914.563119986906 1.91001706754193 174.683116851938 959.459981698326 0.0283883081712437 0.091820124 2.20667215220591 174.683116851939 0.0216032524530721 0.52367625691663 1.00713766456647 0.0082218511221437 0.0133814013309284
"182" "ssem" "Ssem_ou" "B" 6 0 3.18 221 4 369.76269859452 452.925647138741 0.72 0.5 0.014 5.16 0.114608982244969 71.6594377121162 0.5906214570593 4.23236015135802 226.462823569371 0.00514454856849312 0.174378992 0.816387194963268 4.23236015135803 0.00292639625056085 0.25566637433184 1.37678671027483 0.0056898425264925 -0.00276344627593165
"183" "ssmi" "Ssmi_3A" "B" 15 0 4.39 332 5 2858.9339312817 1842.78032594999 0.31 0.37 0.0293 4.63 0.0190720553361834 617.480330730389 0.545788228920284 33.701349610245 921.390162974993 0.00716788553417705 0.094821825 1.5514241665283 33.701349610245 0.0051093004865167 0.433429304610881 1.02799270728256 0.0082218511221437 -0.003112550635627
"185" "pmal" "12H_Pmal_1" "B" 9 0 3.62 223 3 418.406444852995 598.882750316617 0.39 0.49 0.0313 4.96 0.0466410981630049 84.3561380752007 0.441548281549146 3.72473078052274 299.441375158309 0.00366142764339664 0.119672888 0.69864500961464 3.72473078052273 0.00213251763291393 0.239549963191869 1.21784472933412 0.00610245022553465 -0.00396993259262072
"187" "dry" "DL_m_3" "B" 0 0 4.24 551 13 3275.60522779353 2587.63996836523 0.59 0.42 0.0372 5.43 0.148729804624439 603.242215063264 1.91563115004049 115.558957819461 1293.81998418262 0.0197090440452957 0.0884049590000001 1.26586591173382 115.558957819462 0.0160289633193762 0.454352973026009 0.520218887718695 0.00485143318773572 0.0111775301316405
"189" "ssem" "SS" "B" 12 0 3.4 246 8 1402.46003390695 651.605705386572 0.72 0.5 0.014 5.16 0.0522295664840658 271.794580214526 0.331556156789074 9.01151664520278 325.802852693286 0.00438716077719216 -0.009144451 2.15231392591157 9.01151664520277 0.00317142951736559 0.49356876578881 1.20840351631108 0.0056898425264925 -0.00251841300912691
"190" "pmal" "Pm_m_3" "B" 9 0 3.17 331 4 585.295839599885 807.811848507737 0.39 0.49 0.0313 4.96 0.199073337746955 118.003193467719 0.508853514233824 6.00463396868625 403.905924253868 0.00431024393874594 0.020318293 0.724544757149943 6.00463396868625 0.00277780719678056 0.270764047228343 0.951381993711899 0.00610245022553465 -0.00332464302875409
"191" "ssem" "SS" "B" 0 0 3.3 223 7 983.278129401066 550.205659566536 0.72 0.5 0.014 5.16 NA 190.55777701571 1.69158151512278 32.2344013162665 275.102829783268 0.0210203730539388 0.035703149 1.78711016926964 32.2344013162664 0.0143080559756232 0.436452918018892 1.30751285990274 0.0056898425264925 0.0086182134491307
"194" "slep" "8Q_Slep_4" "B" 18 0 4.76 423 8 1651.74687026864 1270.94879101225 0.42 0.4 0.055 4.44 0.118274167883468 372.015060871316 0.911898153915993 33.9239847237499 635.474395506124 0.0116070876530752 0.070366418 1.29961716943222 33.9239847237498 0.00870265718199823 0.423729313653505 0.767475730576469 0.0138467526479274 -0.00514409546592917
"196" "sbec" "SHOREABECCARINA_Sbec" "B" 9 0 5.05 230 5 1554.26494825265 1752.53398607574 0.41 0.42 0.037 5.37 0.0942425378758935 289.43481345487 0.279702508265626 8.09556433027208 876.266993037872 0.00244815741478285 0.116654135 0.886867222320149 8.09556433027206 0.00176166540757182 0.338221608998824 0.735281093233612 0.00323018376090687 -0.00146851835333505
"197" "dry" "DL_m_7" "B" 6 0 5.12 600 6 1765.30398187306 2461.06506915865 0.59 0.42 0.0372 5.43 0.0648201001732887 325.102022444395 0.788887675698174 25.6468978850934 1230.53253457932 0.00606830534092442 0.163048118 0.717292689248789 25.6468978850934 0.00459575401433265 0.316330766300043 0.550247384828066 0.00485143318773572 -0.000255679173403073
"198" "sbec" "SHOREABECCARINA_Sbec" "B" 3 0 3.82 311 4 1009.99242164174 1668.95659587598 0.41 0.42 0.037 5.37 0.0508902210806797 188.08052544539 0.765551722921589 14.3985370302716 834.478297937992 0.00537469617231203 0.299483315 0.605163983375871 14.3985370302715 0.00381586916855934 0.267666008992347 0.655728184643763 0.00323018376090687 0.000585685407652474
"199" "sbec" "SHOREABECCARINA_Sbec" "B" 15 0 5.88 350 4 1549.53570018079 2512.39209540486 0.41 0.42 0.037 5.37 -0.046995853072804 288.554134111878 0.0304902373006775 0.879808402316269 1256.19604770243 0.0002165987301085 0.014303607 0.616757114868683 0.879808402316271 0.000152705579430301 0.268948041779423 0.67646320675208 0.00323018376090687 -0.00307747818147656
"200" "dry" "DL_m_3" "B" 3 0 4.75 567 13 3324.82215262357 2964.73205990218 0.59 0.42 0.0372 5.43 0.113224655607686 612.306105455537 1.18056966441958 72.2870013439701 1482.36602995109 0.011493183602744 0.186891466 1.12145788740628 72.2870013439704 0.0092208155435425 0.424109054386485 0.522809844695264 0.00485143318773572 0.00436938235580678
