"index" "site" "blockN" "blockL" "plot" "sp" "sdlrep" "wl" "origin" "mother" "name" "poss" "x" "y" "ztopo" "per.water.feb" "per.water.mar" "per.water.may" "light" "sand" "time" "mortality" "f.time" "height" "dia" "Tbio" "cdia" "rgr" "flood" "wden"
"51" 1585 "A1" 1 "a" 2 "Pmal" 4 "H" "All" "12HPmal1a" "gPmal4" 51 240 80 153.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 21.400843315519 2.61 NA NA "Pmal"
"52" 817 "A1" 1 "a" 2 "Swal" 2 "H" NA "Swal1" "Swal2" 52 240 120 156.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 68.2215694282945 4.66 NA NA "Swal"
"53" 1393 "A1" 1 "a" 2 "Spau" 3 "H" NA "Spau1" "Spau3" 53 240 160 163.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 15.3438526793979 2.21 NA NA "Spau"
"54" 1649 "A1" 1 "a" 2 "Ssmi" 4 "H" "All" "Ssmi4a" "fSsmi4" 54 240 200 168.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 39.8152886545356 3.56 NA NA "Ssmi"
"55" 1969 "A1" 1 "a" 2 "Sgib" 4 "H" "Mud" "Sgib1" "Sgib4" 55 240 240 167.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 11.8236981110505 1.94 NA NA "Sgib"
"56" 657 "A1" 1 "a" 2 "Slep" 2 "H" "Mud" "8QSlep4m" "cSlep2" 56 240 280 154.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 26.6033207498637 2.91 NA NA "Slep"
"57" 849 "A1" 1 "a" 2 "Ssem" 2 "H" "All" "Ssem1" "Ssem2" 57 280 0 152.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 32.775921995637 3.23 NA NA "Ssem"
"58" 881 "A1" 1 "a" 2 "Spau" 2 "H" NA "Spau1" "Spau2" 58 280 40 154.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 9.0792027688745 1.7 NA NA "Spau"
"59" 1681 "A1" 1 "a" 2 "Slep" 4 "H" "All" "12HSlep8a" "fSlep4" 59 280 80 159.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 28.2743338823081 3 NA NA "Slep"
"60" 369 "A1" 1 "a" 2 "Spau" 1 "H" NA "Spau1" "Spau1" 60 280 120 160.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 34.8368067763919 3.33 NA NA "Spau"
"61" 689 "A1" 1 "a" 2 "Spar" 2 "H" "Mud" "Spar1RDC" "bSpar2" 61 280 160 165.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 10.4062115057508 1.82 NA NA "Spar"
"62" 977 "A1" 1 "a" 2 "Sbec" 2 "H" "Mud" "Sbec1" "Sbec2" 62 280 200 168.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 29.4166169711534 3.06 NA NA "Sbec"
"63" 1841 "A1" 1 "a" 2 "Swal" 4 "H" NA "Swal1" "Swal4" 63 280 240 173.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 55.1541147856878 4.19 NA NA "Swal"
"64" 561 "A1" 1 "a" 2 "Pmal" 2 "H" "Mud" "9LPmal7m" "cPmal2" 64 280 280 170.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 13.4614103613669 2.07 NA NA "Pmal"
"65" 1345 "A1" 1 "a" 1 "Ssem" 3 "L" "All" "Ssem1" "Ssem3" 1 0 0 28.2533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 21.8956441584594 2.64 NA NA "Ssem"
